File,VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),DTE,Spread_Cost_Interval
vix_put_spread_results_threshold_20-21_strike_17.0.csv,20-21,17.0,147,18579.100000000002,-1107.9,16.769654300929687,91.83673469387756,1.0; 2.0; 4.0; 5.0; 7.0; 8.0; 9.0; 10.0; 11.0; 12.0; 14.0; 15.0; 16.0; 17.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-264.0 to -11.0
vix_put_spread_results_threshold_21-22_strike_17.0.csv,21-22,17.0,126,22525.300000000003,-336.20000000000016,66.99970255800116,95.23809523809523,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0,-365.0 to -11.5
vix_put_spread_results_threshold_22-23_strike_17.0.csv,22-23,17.0,73,12685.399999999998,-522.2,24.29222520107238,91.78082191780823,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 30.0,-422.50000000000006 to -22.5
vix_put_spread_results_threshold_23-24_strike_17.0.csv,23-24,17.0,86,10984.799999999996,-856.1,12.831211307090287,84.88372093023256,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 28.0; 29.0,-474.5 to -14.000000000000002
vix_put_spread_results_threshold_24-25_strike_17.0.csv,24-25,17.0,55,11324.499999999993,-179.1000000000003,63.23003908431029,94.54545454545455,1.0; 2.0; 4.0; 5.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 20.0; 22.0; 27.0; 28.0; 29.0; 30.0,-490.00000000000006 to -62.49999999999999
vix_put_spread_results_threshold_25-26_strike_17.0.csv,25-26,17.0,46,9911.299999999996,-566.5999999999998,17.4925873632192,93.47826086956522,1.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 15.0; 16.0; 21.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-620.0 to -94.5
vix_put_spread_results_threshold_26-27_strike_17.0.csv,26-27,17.0,30,6612.000000000002,0.0,,100.0,2.0; 5.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 16.0; 19.0; 21.0; 23.0; 26.0; 28.0,-653.0 to -87.49999999999997
vix_put_spread_results_threshold_27-28_strike_17.0.csv,27-28,17.0,29,5202.200000000002,-60.20000000000003,86.41528239202655,96.55172413793103,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 13.0; 14.0; 15.0; 19.0; 20.0; 22.0; 28.0; 29.0; 30.0,-687.5 to -56.49999999999999
vix_put_spread_results_threshold_15-16_strike_18.0.csv,15-16,18.0,30,2426.0000000000005,-520.2000000000002,4.663590926566704,80.0,7.0; 11.0; 14.0; 15.0; 20.0; 21.0; 23.0; 26.0; 27.0; 28.0,113.5 to 259.99999999999994
vix_put_spread_results_threshold_16-17_strike_18.0.csv,16-17,18.0,107,9537.099999999995,-1472.2999999999997,6.477687971201519,77.57009345794393,6.0; 7.0; 8.0; 9.0; 11.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 23.0; 27.0; 28.0; 29.0; 30.0,41.99999999999999 to 175.5
vix_put_spread_results_threshold_17-18_strike_18.0.csv,17-18,18.0,155,14326.500000000002,-406.0000000000002,35.286945812807865,83.87096774193549,4.0; 11.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,0.0 to 90.5
vix_put_spread_results_threshold_18-19_strike_18.0.csv,18-19,18.0,179,18456.699999999997,-57.800000000000004,319.32006920415216,81.00558659217877,2.0; 6.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,0.0 to 0.0
vix_put_spread_results_threshold_19-20_strike_18.0.csv,19-20,18.0,209,20875.699999999997,-431.49999999999994,48.379374275782155,92.82296650717703,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-167.50000000000003 to -13.0
vix_put_spread_results_threshold_20-21_strike_18.0.csv,20-21,18.0,179,21081.2,-712.8000000000004,29.575196408529727,92.17877094972067,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 10.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 17.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-215.5 to 8.5
vix_put_spread_results_threshold_21-22_strike_18.0.csv,21-22,18.0,161,25600.3,-421.9000000000002,60.67859682389189,95.65217391304348,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-292.0 to -15.999999999999998
vix_put_spread_results_threshold_22-23_strike_18.0.csv,22-23,18.0,102,18081.59999999999,-558.7,32.36370144979415,94.11764705882352,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-363.0 to -9.0
vix_put_spread_results_threshold_23-24_strike_18.0.csv,23-24,18.0,105,14677.999999999996,-1206.6999999999998,12.163752382530868,84.76190476190476,1.0; 2.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 28.0; 29.0; 30.0,-462.0 to -29.5
vix_put_spread_results_threshold_24-25_strike_18.0.csv,24-25,18.0,75,13753.499999999996,-334.3000000000002,41.14119054741247,94.66666666666667,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 21.0; 22.0; 26.0; 27.0; 28.0; 29.0; 30.0,-530.5000000000001 to -28.000000000000004
vix_put_spread_results_threshold_25-26_strike_18.0.csv,25-26,18.0,51,9924.299999999997,-325.60000000000014,30.480036855036836,94.11764705882352,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 15.0; 16.0; 19.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-563.5000000000001 to -94.5
